year,month,domestic,atlantic,latin_america,pacific,international***,total
2002,October,"1,458.67",486.393,152.429,827.855,"2,667.60","5,592.94"
2002,November,"1,296.24",480.208,128.744,780.295,"2,463.81","5,149.29"
2002,December,"1,262.52",424.351,161.397,643.024,"2,071.80","4,563.09"
2003,January,"1,177.79",394.155,135.919,591.492,"1,948.97","4,248.33"
2003,February,"1,079.56",423.668,159.528,553.606,"1,909.49","4,125.85"
2003,March,"1,233.95",482.276,153.558,730.667,"2,423.22","5,023.68"
2003,April,"1,208.20",414.988,145.716,650.184,"2,119.86","4,538.95"
2003,May,"1,243.02",429.335,139.429,667.973,"2,089.55","4,569.31"
2003,June,"1,207.79",413.324,129.411,680.507,"2,171.83","4,602.86"
2003,July,"1,263.99",425.483,131.996,705.342,"2,141.83","4,668.64"
2003,August,"1,318.44",401.435,126.897,690.555,"2,108.82","4,646.15"
2003,September,"1,276.32",412.495,120.827,654.6,"2,243.82","4,708.07"
2003,October,"1,460.49",446.722,133.673,709.961,"2,530.61","5,281.45"
2003,November,"1,338.77",445.908,134.814,717.497,"2,490.98","5,127.97"
2003,December,"1,424.22",423.694,130.584,654.083,"2,268.23","4,900.81"
2004,January,"1,234.82",404.747,125.103,581.697,"2,034.02","4,380.39"
2004,February,"1,264.42",454.065,141.983,656.754,"2,207.64","4,724.87"
2004,March,"1,416.58",507.576,158.567,773.97,"2,623.70","5,480.40"
2004,April,"1,343.96",472.597,151.14,752.613,"2,391.46","5,111.77"
2004,May,"1,324.74",487.779,152.962,752.106,"2,513.27","5,230.85"
2004,June,"1,330.79",473.068,145.735,759.909,"2,506.78","5,216.28"
2004,July,"1,359.62",490.816,144.706,794.28,"2,603.15","5,392.57"
2004,August,"1,331.53",456.164,150.711,779.381,"2,559.62","5,277.41"
2004,September,"1,393.41",482.506,144.757,807.077,"2,632.20","5,459.95"
2004,October,"1,527.98",526.152,161.371,864.354,"2,821.21","5,901.06"
2004,November,"1,397.97",504.501,162.887,847.675,"2,765.01","5,678.04"
2004,December,"1,526.98",506.006,158.768,827.169,"2,652.46","5,671.38"
2005,January,"1,280.52",470.104,116.254,633.013,"2,501.42","5,001.31"
2005,February,"1,253.13",494.568,125.025,578.975,"2,313.96","4,765.65"
2005,March,"1,469.77",571.629,140.729,704.376,"2,899.68","5,786.18"
2005,April,"1,226.82",500.753,185.866,749.52,"2,827.33","5,490.29"
2005,May,"1,261.17",483.805,171.796,742.632,"2,674.63","5,334.02"
2005,June,"1,351.71",490.711,175.316,789.627,"2,747.35","5,554.71"
2005,July,"1,325.12",504.968,163.395,783.557,"2,712.10","5,489.14"
2005,August,"1,266.50",472.316,165.186,768.134,"2,766.48","5,438.61"
